Ex/Eff Date,Cash Amount,Record Date
2/1/2013,0.0207,2/5/2013
12/26/2012,0.0208,12/28/2012
12/3/2012,0.0201,12/5/2012
11/1/2012,0.0223,11/5/2012
10/1/2012,0.0218,10/3/2012
9/4/2012,0.0235,9/6/2012
8/1/2012,0.0259,8/3/2012
7/2/2012,0.0261,7/5/2012
6/1/2012,0.0279,6/5/2012
5/1/2012,0.0277,5/3/2012
4/2/2012,0.0303,4/4/2012
3/1/2012,0.0352,3/5/2012
2/1/2012,0.0313,2/3/2012
12/27/2011,0.0386,12/29/2011
12/1/2011,0.0448,12/5/2011
11/1/2011,0.0481,11/3/2011
10/3/2011,0.0488,10/5/2011
9/1/2011,0.0545,9/6/2011
8/1/2011,0.0609,8/3/2011
7/1/2011,0.0614,7/6/2011
6/1/2011,0.0661,6/3/2011
5/2/2011,0.0662,5/4/2011
4/1/2011,0.0673,4/5/2011
12/28/2010,0.0676,12/31/2010
12/1/2010,0.0642,12/4/2010
11/1/2010,0.0668,11/4/2010
9/1/2010,0.0697,9/3/2010
8/2/2010,0.0705,8/5/2010
7/1/2010,0.0726,7/4/2010
6/1/2010,0.0705,6/4/2010
5/3/2010,0.0784,5/6/2010
3/1/2010,0.0747,3/4/2010
11/2/2009,0.089,11/4/2009
9/1/2009,0.1076,9/4/2009
8/3/2009,0.1117,8/5/2009
7/1/2009,0.1121,7/4/2009
6/1/2009,0.1308,6/4/2009
5/1/2009,0.1668,5/4/2009
4/1/2009,0.1412,4/4/2009
3/2/2009,0.1293,3/5/2009
12/29/2008,0.3362,1/1/2009
12/1/2008,0.2792,12/4/2008
11/3/2008,0.327,11/6/2008
9/2/2008,0.2352,9/5/2008
8/1/2008,0.2656,8/5/2008
6/2/2008,0.2227,6/5/2008
4/3/2008,0.1759,4/6/2008
10/1/2007,0.2972,10/4/2007
9/4/2007,0.3058,9/7/2007
7/2/2007,0.3025,7/5/2007
4/2/2007,0.2949,4/4/2007
12/27/2006,0.2457,12/29/2006
12/1/2006,0.2867,12/5/2006
11/1/2006,0.2971,11/3/2006
10/2/2006,0.2943,10/4/2006
8/1/2006,0.2891,8/3/2006
7/3/2006,0.2776,7/6/2006
5/1/2006,0.2627,5/3/2006
4/3/2006,0.2658,4/5/2006
3/1/2006,0.2792,3/3/2006
12/1/2005,0.2309,12/5/2005
11/1/2005,0.2321,11/3/2005
12/31/2004,0.1539,1/4/2005
11/1/2004,0.1378,11/3/2004
10/1/2004,0.1321,10/5/2004
9/1/2004,0.1315,9/3/2004
8/2/2004,0.143,8/4/2004
6/1/2004,0.1235,6/4/2004
5/3/2004,0.116,5/6/2004
4/1/2004,0.1199,4/5/2004
3/1/2004,0.1132,3/1/2004
2/2/2004,0.1191,2/2/2004
12/31/2003,0.1161,12/31/2003
11/3/2003,0.1105,11/3/2003
10/1/2003,0.0926,10/1/2003
9/2/2003,0.1034,9/4/2003
8/1/2003,0.102,8/5/2003
7/1/2003,0.102,7/1/2003
5/1/2003,0.1303,5/1/2003
4/1/2003,0.1125,4/1/2003
3/3/2003,0.1074,3/5/2003
2/3/2003,0.1217,2/3/2003
